CIM10;Description;Requete 1;Requete 2;Requete 3
C30.1;T.M. DE L'OREILLE MOY.;1 TETE requete;;
C41.8;T.M. A LOC. CONTIGUES DES OS ET DU CARTILAGE ARTIC.;1 TETE requete;;
C41.9;T.M. DES OS ET DU CARTILAGE ARTIC., SAI;1 TETE requete;;
C43.2;MELANOME MALIN DE L'OREILLE ET DU CONDUIT AUDITIF EXT.;1 TETE requete;;
C43.4;MELANOME MALIN DU CUIR CHEVELU ET DU COU;1 TETE requete;;
C43.8;LES. A LOC. CONTIGUES D'UN MELANOME MALIN DE LA PEAU;1 TETE requete;;
C43.9;MELANOME DE LA PEAU, SAI;1 TETE requete;;
C44.2;T.M. DE LA PEAU DE L'OREILLE ET DU CONDUIT AUDITIF EXT.;1 TETE requete;;
C44.4;T.M. DE LA PEAU DU CUIR CHEVELU ET DU COU;1 TETE requete;;
C44.8;T.M. A LOC. CONTIGUES DE LA PEAU;1 TETE requete;;
C44.9;T.M. DE LA PEAU, SAI;1 TETE requete;;
C45.7;MESOTHELIOME D'AUTRES SIEGES;1 TETE requete;;
C46;SARCOME DE KAPOSI;1 TETE requete;;
C46.0;SARCOME DE KAPOSI DE LA PEAU;1 TETE requete;;
C46.1;SARCOME DE KAPOSI DES TISSUS MOUS;1 TETE requete;;
C47.0;T.M. DES NERFS PERIPH. DE TETE, FACE, COU;1 TETE requete;;
C49.0;T.M. DU TISSU CONJ. ET DES TISSUS MOUS NCA DE TETE, FACE, COU;1 TETE requete;;
C70.0;T.M. DES MENINGES CEREB.;1 TETE requete;;
C70.1;T.M. DES MENINGES RACH.;1 TETE requete;;
C70.9;T.M. DES MENINGES, SAI;1 TETE requete;;
C71.0;T.M. DU CERVEAU, SAUF LOBES ET VENTRICULES;1 TETE requete;;
C71.1;T.M. DU LOBE FRONTAL;1 TETE requete;;
C71.2;T.M. DU LOBE TEMPORAL;1 TETE requete;;
C71.3;T.M. DU LOBE PARIETAL;1 TETE requete;;
C71.4;T.M. DU LOBE OCCIPITAL;1 TETE requete;;
C71.5;T.M. D'UN VENTRICULE CEREB.;1 TETE requete;;
C71.6;T.M. DU CERVELET;1 TETE requete;;
C71.7;T.M. DU TRONC CEREB.;1 TETE requete;;
C71.8;T.M. A LOC. CONTIGUES DE L'ENCEPHALE;1 TETE requete;;
C71.9;T.M. DE L'ENCEPHALE, SAI;1 TETE requete;;
C72.0;T.M. DE LA MOELLE EP.;1 TETE requete;;
C72.1;T.M. DE LA QUEUE DE CHEVAL;1 TETE requete;;
C72.2;T.M. DU NERF OLFACTIF;1 TETE requete;;
C72.4;T.M. DU NERF AUDITIF;1 TETE requete;;
C72.5;T.M. DES NERFS CRANIENS, NCA OU SAI;1 TETE requete;;
C72.8;T.M. A LOC. CONTIGUES DE L'ENCEPHALE ET D'AUTRES PARTIES DU S.N.C.;1 TETE requete;;
C72.9;T.M. DU SYST. NERV. CENTRAL, SAI;1 TETE requete;;
C75.1;T.M. DE L'HYPOPHYSE;1 TETE requete;;
C75.2;T.M. DU TRACTUS CRANIO-PHARYNGIEN;1 TETE requete;;
C75.3;T.M. DE L'EPIPHYSE;1 TETE requete;;
C75.4;T.M. DU CORPUSCULE CAROTIDIEN;1 TETE requete;;
C76.0;T.M. SIEGE MAL DEF. DE TETE, FACE, COU;1 TETE requete;;
C77.0;T.M. IIre OU SAI DES Ggl. LYMPH. DE TETE, FACE, COU;1 TETE requete;;
C79.3;T.M. IIre. DU CERVEAU ET DES MENINGES CEREB.;1 TETE requete;;
